2021-08-25/20:47:55		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:56		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:56		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:56		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:56		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:56		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:56		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:56		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:56		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:56		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:56		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:56		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:57		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:57		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:57		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:57		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:57		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:57		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:57		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:57		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:57		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:58		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:58		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:58		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:58		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:58		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:58		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:58		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:58		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:58		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:59		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:59		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:59		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:59		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:59		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:59		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:59		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:59		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:47:59		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:00		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:00		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:00		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:00		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:00		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:00		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:00		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:00		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:00		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:00		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:01		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:01		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:01		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:01		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:01		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:01		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:01		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:01		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:01		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:02		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:02		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:02		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:02		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:02		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:02		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:02		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:02		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:02		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:03		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:03		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:03		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:03		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:03		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:03		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:03		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:03		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:03		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:04		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:04		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:04		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:04		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:04		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:04		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:04		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:04		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:04		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:05		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:05		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:05		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:05		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:05		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:05		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:05		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:05		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
